"NGA","PostRate","PreRate","PostConfInt","PreConfInt","p","df","n","t","PreMGRitual","PreMGWriting","RangeMGAppear","RangeDMAppear","RangeWRAppear","MGAppear","Difference"
"Deccan",NA,0.11229743356875,0.161517892848708,0.0342879222087988,0.00151419978477443,17.4430909238585,19,3.75625474041165,-2000,400,899,1499,94,-700,NA
"Kachi Plain",0.454906858712256,-0.0603721401027192,0.161185595397857,0.0711071043068397,4.83416913859387e-06,26.1254497249772,20,5.73269096257925,-1600,-1600,749,399,399,-900,0.515278998814975
"Kansai",NA,NA,0.268119342645769,0,1.21386486427568e-05,15,20,6.39067212107098,-500,200,549,549,287,200,NA
"Konya Plain",0.0985182577435352,0.451746377513804,0.033646213118756,0.217028763464791,0.005030960378798,19.9127893904535,20,-3.1523666120209,-4000,0,300,499,300,-2000,-0.353228119770269
"Latium",0.677624749480815,0.0608545291796851,0.174332668428066,0.0263628962315071,1.20057416795989e-06,19.8685308078947,20,6.85631699152156,200,200,283,206,206,-900,0.61677022030113
"Middle Yellow River Valley",0.101755145170373,0.209019266275619,0.0254996285412132,0.0444642439344837,0.000284735095773584,30.277804500677,20,-4.10162275092785,-300,300,399,199,127,-1500,-0.107264121105246
"Niger Inland Delta",NA,NA,0.159538432276959,0.0817223370383945,0.000363281649752703,14.6735079515156,20,4.60460340325272,300,400,499,77,102,700,NA
"Orkhon Valley",NA,NA,0.0707390906336768,0.0752205629445472,0.00334190611032104,30.2368411768914,20,3.18567192267395,400,400,150,251,251,100,NA
"Paris Basin",NA,0.133021144466965,0.126462712125498,0.0374652059862446,2.62466923304674e-05,21.1439662344283,20,5.34227473702364,400,200,125,147,149,-500,NA
"Sogdiana",0.365602768418196,0.286942117533425,0.166825519291163,0.150896388399275,0.497300799945591,37.6236171190293,20,0.685387713497183,400,400,248,190,190,-900,0.078660650884771
"Susiana",0.0459792624050422,0.23685148108279,0.0237757847751019,0.0560651398102945,1.81366068313908e-06,25.6197848294761,20,-6.14319792488057,-1700,-1200,424,499,699,-2600,-0.190872218677748
"Upper Egypt",0.275960871974077,NA,0.0729796306897599,0.061685805119207,0.181464253253158,28.3513921621648,20,-1.36991991931599,0,0,199,199,199,-3300,NA
